query_id,prompt,ground_truth,ambiguity_tier,prompt_tags,rule_based_tool,always_local_tool,zero_shot_llm_tool,zero_shot_llm_reason,few_shot_llm_tool,few_shot_llm_reason,cot_llm_tool,cot_llm_reason,langgraph_agent_tool,langgraph_agent_reason
1,"How many full-time and part-time employees did Amazon report as of December 31, 2025?",local,1,"['amazon', 'headcount', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for historical employee data reported by Amazon as of a specific date, December 31, 2025."
2,What are the two main customer group strategies Adobe focuses on in its FY2025 annual report?,local,1,"['adobe', 'strategy', '10K_fact', 'customer_segments', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for information from Adobe's FY2025 annual report, which is a historical and document-specific financial data."
3,What four reportable operating segments does American Express report in its 2025 10-K?,local,1,"['amex', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for specific information from a future 10-K report, which is a historical and document-specific financial data request."
4,"What was Alphabet's aggregate market value of non-affiliate shares as of June 30, 2025 per their annual filing?",local,1,"['alphabet', 'market_cap', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,The query asks for historical financial data from an annual filing regarding Alphabet's market value as of a specific date.
5,What three business segments does Amazon organize its operations into according to its FY2025 10-K?,local,1,"['amazon', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for information from Amazon's FY2025 10-K, which is a historical and document-specific financial report."
6,What is Amazon's stock price right now?,web,1,"['amazon', 'stock_price', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for the current stock price of Amazon, which is real-time market data."
7,What has Adobe announced in the past month regarding new product launches?,web,1,"['adobe', 'recent_news', 'product_launch', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"The query seeks information about recent announcements, which pertains to current events and live updates."
8,Which Wall Street analysts have upgraded or downgraded Airbnb stock in the last 30 days?,web,1,"['airbnb', 'analyst_ratings', 'real_time', 'investment', 'web_only']",uncertain,local,web,,web,,web,,web,"The query seeks current information about recent analyst upgrades or downgrades, which is real-time data."
9,What is Alphabet's current trailing P/E ratio?,web,1,"['alphabet', 'valuation_metric', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for Alphabet's current trailing P/E ratio, which is a real-time financial metric."
10,What new credit card product did American Express launch this quarter?,web,1,"['amex', 'product_launch', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks for information about a new product launch, which is current and relevant to real-time market activities."
11,What was Adobe's total revenue for fiscal year 2025?,local,2,"['adobe', 'revenue', 'financials', 'local_doc_or_web_summary', 'annual_results']",local,local,local,,local,,local,,local,The query asks for historical financial data regarding Adobe's total revenue for a specific fiscal year.
12,What are the main risks Airbnb faces as a business?,local,2,"['airbnb', 'risk_factors', '10K_section_or_web_analysis', 'investment_research']",uncertain,local,web,,web,,web,,web,"The query seeks current insights into the risks faced by Airbnb, which can change over time and are influenced by real-time market conditions."
