id,prompt,gt_label,routed_label,correct,top_snippet
1,"What was Amazon's total revenue for the fiscal year ended December 31, 2025?",local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
2,How has Amazon's AWS segment grown in terms of revenue over the past three years?,web,web,True,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
3,What is Amazon's latest update on employee headcount and compensation packages?,ambiguous,ambiguous,True,"800% Note due 2034, and Form of 4.950% Note due 2044 (incorporated by reference to the Company’s Current Report on Form "
4,What are the primary risk factors that impact Amazon's business operations?,local,local,True,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
5,Is Amazon currently facing any legal proceedings or regulatory actions that could impact its business?,web,local,False,"cember 2018, Kove IO, Inc. filed a complaint against Amazon Web Services, Inc. in the United States District Court for t"
6,"What are some of the key products and services offered by Amazon's subsidiaries, such as Whole Foods Market?",local,local,True,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
7,What is Amazon's current market capitalization and how has it changed over time?,web,web,True,"to sell up to 64,059 shares of Amazon.com, Inc. common stock over a period ending on November 30, 2026, subject to certa"
8,How does Amazon's competition in the e-commerce and cloud computing industries impact its business?,local,local,True,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
9,What are Amazon's most recent efforts to address climate change and sustainability in its operations?,ambiguous,web,False,cers Name Age Position Jeffrey P. Bezos 62 Executive Chair Andrew R. Jassy 58 President and Chief Executive Officer Matt
10,How has Amazon's international expansion impacted its revenue and profitability?,local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
11,What was Amazon's revenue in 2025?,local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
12,Is Amazon still using AWS for its cloud infrastructure?,ambiguous,local,False,"sales, the mix of sales by third-party sellers, the mix of suppliers, seasonality, and changes in payment and other term"
13,What is the current market value of Amazon's stock?,web,web,True,"to sell up to 64,059 shares of Amazon.com, Inc. common stock over a period ending on November 30, 2026, subject to certa"
14,"How many employees does Amazon have as of December 31, 2025?",local,web,False,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
15,What are the main risk factors affecting Amazon's business in recent years?,local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
16,Is Amazon still involved in any ongoing legal disputes?,ambiguous,local,False,"cember 2018, Kove IO, Inc. filed a complaint against Amazon Web Services, Inc. in the United States District Court for t"
17,What are some of the recent product developments at Amazon?,local,ambiguous,False,"nfrastructure computing services, practical applications of artificial intelligence and machine learning, digital conten"
18,How does Amazon's competition in the e-commerce market affect its business strategy?,web,ambiguous,False,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
19,"What is the current status of Amazon's tax contingency provisions as of December 31, 2025?",local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
20,Are there any recent changes to Amazon's financial reporting or accounting practices that have impacted its financial statements?,ambiguous,ambiguous,True,"800% Note due 2034, and Form of 4.950% Note due 2044 (incorporated by reference to the Company’s Current Report on Form "
21,"What is Amazon's revenue breakdown by product category for the fiscal year ended December 31, 2025?",local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
22,What are some of the risk factors that might affect Amazon's business going forward?,local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
23,"Can you summarize Amazon's AWS segment financials for the fiscal year ended December 31, 2025?",local,local,True,"idance We provided guidance on February 5, 2026, in our earnings release furnished on Form 8-K as set forth below. These"
24,What is Amazon's current approach to managing its tax contingencies?,ambiguous,local,False,"bject to examination, by the Internal Revenue Service for the calendar year 2016 and thereafter. These examinations may "
25,How has Amazon's product lineup evolved over the past few years?,local,ambiguous,False,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
26,What is Amazon's competitive advantage in the e-commerce market?,ambiguous,local,False,"ms include Amazon.com, Inc. and its subsidiaries, unless the context indicates otherwise. General We seek to be Earth’s "
27,"Can you provide an overview of Amazon's legal proceedings as of December 31, 2025?",local,local,True,"cember 2018, Kove IO, Inc. filed a complaint against Amazon Web Services, Inc. in the United States District Court for t"
28,What is the current state of Amazon's research and development efforts in artificial intelligence?,web,ambiguous,False,"sales, the mix of sales by third-party sellers, the mix of suppliers, seasonality, and changes in payment and other term"
