query_id,prompt,ground_truth,ambiguity_tier,prompt_tags,rule_based_tool,always_local_tool,zero_shot_llm_tool,zero_shot_llm_reason,few_shot_llm_tool,few_shot_llm_reason,cot_llm_tool,cot_llm_reason,langgraph_agent_tool,langgraph_agent_reason
1,"How many full-time and part-time employees did Amazon report as of December 31, 2025?",local,1,"['amazon', 'headcount', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific headcount figure as of a past date (December 31, 2025), which is historical and would be found in company reports."
2,What are the two main customer group strategies Adobe focuses on in its FY2025 annual report?,local,1,"['adobe', 'strategy', '10K_fact', 'customer_segments', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for information from a specific future document (FY2025 annual report), indicating a need for accessing static, document-specific data rather than current market information."
3,What four reportable operating segments does American Express report in its 2025 10-K?,local,1,"['amex', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for information from a future 10-K filing, which is a static document and not real-time market data."
4,"What was Alphabet's aggregate market value of non-affiliate shares as of June 30, 2025 per their annual filing?",local,1,"['alphabet', 'market_cap', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query requests a specific data point from an annual filing, indicating a need for historical, document-based information rather than current market data."
5,What three business segments does Amazon organize its operations into according to its FY2025 10-K?,local,1,"['amazon', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query explicitly requests information from a specific historical document (FY2025 10-K), indicating a need for local data retrieval."
6,What is Amazon's stock price right now?,web,1,"['amazon', 'stock_price', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for the 'right now' stock price, which is real-time market data requiring a web search."
7,What has Adobe announced in the past month regarding new product launches?,web,1,"['adobe', 'recent_news', 'product_launch', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"The query asks for recent announcements, implying a need for up-to-date information found through news and press releases on the internet."
8,Which Wall Street analysts have upgraded or downgraded Airbnb stock in the last 30 days?,web,1,"['airbnb', 'analyst_ratings', 'real_time', 'investment', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks for recent analyst ratings changes, which is current market activity and requires up-to-date information from financial news sources."
9,What is Alphabet's current trailing P/E ratio?,web,1,"['alphabet', 'valuation_metric', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"A trailing P/E ratio is a current market valuation metric that requires up-to-date stock price and earnings data, making it a web-based query."
10,What new credit card product did American Express launch this quarter?,web,1,"['amex', 'product_launch', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks about a recent product launch, implying a need for up-to-date information typically found through news or company announcements on the web."
