query_id,prompt,ground_truth,ambiguity_tier,prompt_tags,rule_based_tool,always_local_tool,zero_shot_llm_tool,zero_shot_llm_reason,few_shot_llm_tool,few_shot_llm_reason,cot_llm_tool,cot_llm_reason,langgraph_agent_tool,langgraph_agent_reason
1,"How many full-time and part-time employees did Amazon report as of December 31, 2025?",local,1,"['amazon', 'headcount', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"This query asks for a specific historical headcount figure reported as of a fixed date (December 31, 2025), which is static data found in Amazon's annual report or 10-K filing."
2,What are the two main customer group strategies Adobe focuses on in its FY2025 annual report?,local,1,"['adobe', 'strategy', '10K_fact', 'customer_segments', 'local_doc']",local,local,local,,local,,local,,local,"The query asks about specific strategic content from Adobe's FY2025 annual report, which is a static, document-specific financial filing."
3,What four reportable operating segments does American Express report in its 2025 10-K?,local,1,"['amex', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks about reportable operating segments disclosed in American Express's 2025 10-K, which is a static, document-specific piece of financial information found in a filed report."
4,"What was Alphabet's aggregate market value of non-affiliate shares as of June 30, 2025 per their annual filing?",local,1,"['alphabet', 'market_cap', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"This query asks for a specific metric (aggregate market value of non-affiliate shares as of June 30, 2025) explicitly sourced from Alphabet's annual filing (10-K), making it a document-specific historical data point."
5,What three business segments does Amazon organize its operations into according to its FY2025 10-K?,local,1,"['amazon', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"This query asks about Amazon's business segment structure as reported in its FY2025 10-K, which is a static, document-specific piece of financial/organizational information."
6,What is Amazon's stock price right now?,web,1,"['amazon', 'stock_price', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for Amazon's current stock price, which is real-time market data that requires a live data source."
7,What has Adobe announced in the past month regarding new product launches?,web,1,"['adobe', 'recent_news', 'product_launch', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,Recent product launch announcements from the past month require real-time or current news data that would not be available in static historical documents.
8,Which Wall Street analysts have upgraded or downgraded Airbnb stock in the last 30 days?,web,1,"['airbnb', 'analyst_ratings', 'real_time', 'investment', 'web_only']",uncertain,local,web,,web,,web,,web,Analyst upgrades and downgrades from the last 30 days require real-time or recently updated market data that cannot be found in static historical documents.
9,What is Alphabet's current trailing P/E ratio?,web,1,"['alphabet', 'valuation_metric', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"A trailing P/E ratio requires the current live stock price combined with recent earnings data, making it a real-time market metric that changes continuously."
10,What new credit card product did American Express launch this quarter?,web,1,"['amex', 'product_launch', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,Information about a product launched 'this quarter' requires real-time or current news data that would not be available in static historical documents.
