query_id,prompt_text,ambiguity_tier,ground_truth,linguistic_features
Q001,What is retrieval-augmented generation?,1,local_retrieval,"no_temporal,concept_query"
Q002,Explain the difference between dense and sparse retrieval.,1,local_retrieval,"no_temporal,concept_query"
Q003,What embedding model does ChromaDB use by default?,1,local_retrieval,"no_temporal,entity_specific"
Q004,Describe the architecture of a transformer model.,1,local_retrieval,"no_temporal,concept_query"
Q005,What is LangGraph used for in agentic systems?,1,local_retrieval,"no_temporal,entity_specific"
Q006,What AI news broke today?,2,web_search,"temporal_today,news_query"
Q007,What is the current stock price of NVIDIA?,2,web_search,"temporal_current,entity_specific"
Q008,Who won the most recent AI research competition?,2,web_search,"temporal_recent,entity_specific"
Q009,What did OpenAI announce this week?,2,web_search,"temporal_this_week,entity_specific"
Q010,What are the latest updates to the LangChain library?,2,web_search,"temporal_latest,entity_specific"
Q011,What are recent advances in transformer models?,3,web_search,"temporal_recent,concept_query,ambiguous"
Q012,How is RAG being used in industry today?,3,web_search,"temporal_today,concept_query,ambiguous"
Q013,What is the current state of vector database technology?,3,web_search,"temporal_current,concept_query,ambiguous"
Q014,How has LLM performance improved over time?,3,web_search,"temporal_over_time,concept_query,ambiguous"
Q015,Tell me about Llama 3's capabilities.,3,local_retrieval,"no_temporal,entity_specific,ambiguous"
Q016,What is the difference between BM25 and vector search?,1,local_retrieval,"no_temporal,concept_query"
Q017,How does cosine similarity work in embedding space?,1,local_retrieval,"no_temporal,concept_query"
Q018,What is a vector database and how does it store data?,1,local_retrieval,"no_temporal,concept_query"
Q019,Explain the concept of chunking in document retrieval.,1,local_retrieval,"no_temporal,concept_query"
Q020,What is the role of a reranker in a RAG pipeline?,1,local_retrieval,"no_temporal,concept_query"
Q021,How does attention mechanism work in transformers?,1,local_retrieval,"no_temporal,concept_query"
Q022,What is the difference between fine-tuning and RAG?,1,local_retrieval,"no_temporal,concept_query"
Q023,What is LangChain and what problems does it solve?,1,local_retrieval,"no_temporal,entity_specific"
Q024,Explain what a knowledge graph is.,1,local_retrieval,"no_temporal,concept_query"
Q025,What is semantic search and how does it differ from keyword search?,1,local_retrieval,"no_temporal,concept_query"
Q026,How does ChromaDB handle document persistence?,1,local_retrieval,"no_temporal,entity_specific"
Q027,What is the purpose of top-k retrieval?,1,local_retrieval,"no_temporal,concept_query"
Q028,Explain the difference between generative and discriminative models.,1,local_retrieval,"no_temporal,concept_query"
Q029,What is a hallucination in the context of large language models?,1,local_retrieval,"no_temporal,concept_query"
Q030,How do sentence transformers generate embeddings?,1,local_retrieval,"no_temporal,concept_query"
Q031,What is prompt engineering and why does it matter?,1,local_retrieval,"no_temporal,concept_query"
Q032,Describe what tool calling means in an LLM agent.,1,local_retrieval,"no_temporal,concept_query"
Q033,What is the difference between zero-shot and few-shot prompting?,1,local_retrieval,"no_temporal,concept_query"
Q034,How does a graph-based state machine work in LangGraph?,1,local_retrieval,"no_temporal,entity_specific"
Q035,What is the Mistral 7B model and what are its design goals?,1,local_retrieval,"no_temporal,entity_specific"
Q036,What is the current price of Bitcoin?,2,web_search,"temporal_current,entity_specific"
Q037,What are the top AI stories this week?,2,web_search,"temporal_this_week,news_query"
Q038,Has Anthropic released any new models recently?,2,web_search,"temporal_recent,entity_specific"
Q039,What is happening with AI regulation in the US right now?,2,web_search,"temporal_current,news_query"
Q040,What did Google DeepMind publish this month?,2,web_search,"temporal_this_week,entity_specific"
Q041,What is the latest version of LangChain available today?,2,web_search,"temporal_latest,entity_specific"
Q042,Who is currently leading in the LLM benchmark leaderboards?,2,web_search,"temporal_current,entity_specific"
Q043,What AI tools were announced at the latest tech conference?,2,web_search,"temporal_recent,news_query"
Q044,What is Meta's most recent open-source AI release?,2,web_search,"temporal_recent,entity_specific"
Q045,What are researchers working on in AI safety today?,2,web_search,"temporal_today,news_query"
Q046,Is there a newer version of ChromaDB released this year?,2,web_search,"temporal_current,entity_specific"
Q047,What startups raised funding in AI this week?,2,web_search,"temporal_this_week,news_query"
Q048,What is the current context window size of GPT-4?,2,web_search,"temporal_current,entity_specific"
Q049,What papers were published on arxiv about RAG this month?,2,web_search,"temporal_this_week,news_query"
Q050,What is the latest news about Mistral AI the company?,2,web_search,"temporal_latest,entity_specific"
Q051,What are the newest developments in open-source LLMs?,2,web_search,"temporal_recent,news_query"
Q052,What benchmarks is Claude 3 currently scoring on?,2,web_search,"temporal_current,entity_specific"
Q053,Who won the Turing Award this year?,2,web_search,"temporal_current,news_query"
Q054,What hardware is NVIDIA releasing for AI inference now?,2,web_search,"temporal_current,entity_specific"
Q055,What is the current state of AI adoption in healthcare?,2,web_search,"temporal_current,news_query"
Q056,How is vector search being used in production systems today?,3,web_search,"temporal_today,concept_query,ambiguous"
Q057,What are the best practices for chunking documents in RAG?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
